Date,Open,High,Low,Close,Adj Close,Volume
2021-11-29,93.169998,94.129997,92.870003,92.940002,91.354912,9552500
2021-11-30,93.019997,93.519997,90.610001,90.739998,89.192421,23271200
2021-12-01,91.690002,92.389999,89.660004,89.750000,88.219315,12084900
2021-12-02,89.400002,91.040001,89.000000,89.989998,88.455215,7089800
2021-12-03,90.349998,90.790001,87.720001,88.239998,86.735054,10808600
2021-12-06,88.339996,89.169998,87.849998,88.940002,87.423134,8398500
2021-12-07,89.980003,90.730003,89.209999,90.050003,88.514198,6803700
2021-12-08,90.050003,90.169998,87.910004,88.940002,87.423134,7695800
2021-12-09,89.120003,89.989998,88.239998,88.769997,87.256020,8615800
2021-12-10,104.290001,106.339996,100.099998,102.629997,100.879639,45824600
2021-12-13,102.440002,104.360001,100.519997,100.889999,99.169327,16317600
2021-12-14,100.000000,101.459999,99.389999,99.889999,98.186378,9511600
2021-12-15,100.580002,103.760002,100.239998,103.650002,101.882256,14452200
2021-12-16,103.949997,104.000000,102.279999,103.220001,101.459579,9053200
2021-12-17,97.690002,99.949997,95.809998,96.620003,94.972145,28872300
2021-12-20,96.419998,96.419998,91.519997,91.639999,90.077080,17205400
2021-12-21,91.809998,91.839996,89.709999,91.510002,89.949295,15823000
2021-12-22,91.269997,91.860001,89.510002,89.860001,88.327438,10539000
2021-12-23,90.029999,90.360001,89.059998,89.720001,88.189819,9655400
2021-12-27,89.699997,90.330002,89.019997,89.540001,88.012901,7666200
2021-12-28,89.699997,89.800003,88.519997,88.650002,87.138077,5610500
2021-12-29,88.500000,89.190002,87.720001,88.209999,86.705574,5628500
2021-12-30,88.650002,88.910004,87.769997,88.010002,86.508987,7382400
2021-12-31,88.050003,88.099998,87.180000,87.209999,85.722633,5908200
2022-01-03,87.330002,87.940002,85.760002,87.900002,86.400864,10644400
2022-01-04,87.900002,89.580002,87.730003,88.839996,87.324829,11959000
2022-01-05,88.489998,88.599998,86.220001,86.459999,84.985420,11236700
2022-01-06,86.000000,87.419998,85.550003,86.339996,85.182739,7918400
2022-01-07,86.449997,88.000000,86.279999,87.510002,86.337067,9836800
2022-01-10,87.379997,89.379997,86.949997,89.279999,88.083336,11025500
2022-01-11,88.639999,89.000000,87.410004,88.480003,87.294067,7249800
2022-01-12,88.889999,89.519997,87.669998,88.309998,87.126343,5840300
